OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,Soc Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012
101,Actor,69.52,100,ArtsDesignEntnSportsMedia,67.75,27-2011,Actors,27-2011.00,Actors,187,Actors and Directors,57.62,2700,Actors,5.6
102,Announcer,59.1,100,ArtsDesignEntnSportsMedia,67.75,27-3011,Broadcast Announcers and Radio Disc Jockeys,27-3011.00,Radio and Television Announcers,198,Announcers,54.81,2800,Announcers,4.2
102,Announcer,59.1,100,ArtsDesignEntnSportsMedia,67.75,27-3099,"Media and Communication Workers, All Other",27-3012.00,Public Address System and Other Announcers,198,Announcers,54.81,NA,NA,NA
103,Art Director,62.83,100,ArtsDesignEntnSportsMedia,67.75,27-1011,Art Directors,27-1011.00,Art Directors,187,Actors and Directors,57.62,NA,NA,NA
104,Athlete and/or Sports Competitor,71.03,100,ArtsDesignEntnSportsMedia,67.75,27-2021,Athletes and Sports Competitors,27-2021.00,Athletes and Sports Competitors,199,Athletes,64.66,2720,"Athletes, coaches, umpires, and related workers",6.2
105,Audio and Video Equipment Technician,49.41,100,ArtsDesignEntnSportsMedia,67.75,27-4011,Audio and Video Technicians,27-4011.00,Audio and Video Equipment Technicians,235,"Technicians, n.e.c.",40.85,2900,Broadcast and sound engineering technicians and radio operators,4.5
106,Author,68.97,100,ArtsDesignEntnSportsMedia,67.75,27-3043,Writers and Authors,27-3043.00,Writers and Authors,183,Authors,63.05,2850,Writers and authors,6.3
107,Broadcast News Analyst,64.29,100,ArtsDesignEntnSportsMedia,67.75,27-3023,"News Analysts, Reporters, and Journalists",27-3021.00,Broadcast News Analysts,228,Broadcast Equipment Operators,42.83,2810,"News analysts, reporters and correspondents",5.3
108,Broadcast Technician,55.84,100,ArtsDesignEntnSportsMedia,67.75,27-4012,Broadcast Technicians,27-4012.00,Broadcast Technicians,228,Broadcast Equipment Operators,42.83,NA,NA,NA
109,Camera Operator,57.71,100,ArtsDesignEntnSportsMedia,67.75,27-4031,"Camera Operators, Television, Video, and Film",27-4031.00,"Camera Operators, Television, Video, and Motion Picture",779,"Machine Operators, Not Specified",32.84,2920,"Television, video, and motion picture camera operators and editors",5.15
